name,calories,price
バゲットクロワッサン　たまご,416,181
バゲットクロワッサン　ミルク,420,160
バジル香る！ガパオライス,430,505
バターソースとふわふわパンケーキ,227,257
バターチキンカレーのナン,290,192
バター香るしっとりフィナンシェ,118,178
バター香るしっとりレーズンサンド,191,228
バター香るクイニーアマン,379,149
バター香るスナックスティック　6本入,85,138
バター香るパンスイス　チョコ＆カスタード,400,171
バター香るパンスイス　レモン＆チーズクリーム,367,171
バター香る塩パン,266,149
パリチキ,205,259
パンケーキ　北海道産小豆の粒あんホイップ　3個入,177,311
ヒレカツBOX,393,473
ビビンバ,442,516
ピザロール　あらびきウインナー2本,320,365
ピザロール　アラビアータ,183,297
ピザロール　ハム＆チーズ,199,257
ピザロール　ベーコン＆チーズ,239,297
ピザロール　マルゲリータ,195,257
ピリ辛味噌だれで食べる　野菜スティック,101,289
フラン　カスタードタルト,250,549
フレンチトースト　4個入,89,181
ブルーベリー,64,289
ブロッコリー,39,203
ブロッコリーと海老のアヒージョ,162,451
プレミアムおにぎり　いくら醤油漬,193,308
プレミアムおにぎり　九州産うなぎ,212,354
プレミアムおにぎり　塩にぎり,207,149
プレミアムおにぎり　焼さけハラミ,204,297
プレミアムおにぎり　熟成生たらこ,197,275
プレミアムおにぎり　直火焼黒毛和牛カルビ焼肉,247,322
プレミアムロールケーキ,212,227
ベーコンフランスパン　6個入,45,203
ペッパーマカロニサラダ,272,268
ホットドッグ,271,235
ホワイトチョコチャンクマカダミアクッキー,238,198
ポテトサラダサンド,245,297
マンゴーパフェ,223,322
ミックスサンド,301,333
ミックスベリー,60,289
ミニネバネバそば,205,451
ミニ冷し中華,238,430
ミルクチョコロール(クッキー＆クランチ),277,289
ヤゲン軟骨焼(肉付き),155,343
ライスバーガー,243,246
レタスサンド,216,343
レモンタルタルチキンパン,306,214
レモン蒸しケーキ　4個入,82,181
レモン香るしっとりマドレーヌ,106,178
レンジで簡単！にんにく焼餃子,190,171
レンジで簡単！焼餃子,222,171
三陸産わかめごはんおにぎり,186,167
中華風春雨サラダ,125,268
今川焼(あずきあん),173,214
今川焼(カスタード),146,214
具！おにぎり　ポーク玉子(シーチキン®マヨネーズ),356,322
具！パン　チキンカツ＆メンチカツ　カレーソース,605,300
具！パン　塩焼きそば,454,300
冷しそば＆いなり,459,697
冷し中華,463,599
冷し汁なし担々麺,593,599
冷製生パスタ　海老とトマトクリーム,460,599
冷製生パスタ　蒸し鶏と梅,369,599
北海道十勝産小豆　赤飯おこわ,206,181
北海道産きたあかりの牛肉コロッケ,221,108
北海道産じゃがいも使用　フライドポテト,143,181
十勝バターとたまごの旨じゅわフレンチトースト,456,149
十勝バターのスティック　4本入,111,160
半熟玉子ぶっかけうどん,533,538
卵・牛乳・砂糖のみで仕立てたカスタードプリン,155,221
味わいの食パン　6枚入,163,138
味付海苔手巻おにぎり　追い鰹製法おかか,171,184
和風だしジュレで食べる　ねばねばサラダ,48,268
和風シーチキン®マヨネーズおにぎり,257,181
和風ドレッシング,59,38
和風ポテトサラダ,254,297
国産わかめのチョレギサラダ,83,397
国産小麦のふわふわたまごシフォンケーキ,326,160
国産小麦のバターロール　4個入,95,149
国産小麦のマーガリン入りバターロール　4個入,146,160
国産小麦のマーガリン入りレーズンバターロール　4個入,153,181
国産小麦使用　讃岐うどん,280,181
国産豚肉焼売,69,343
塩味えだまめ,158,289
塩焼きそばパン,282,171
大きなおにぎり　シーチキン®マヨネーズ,366,279
大きなおにぎり　旨辛キムチチャーハン,259,268
大きなおにぎり　沢庵としそわかめ,264,246
大きなおにぎり　鮭,283,289
大きなイカフライ,257,160
大きなサンドイッチ　オムレツサンド,519,430
大きなサンドイッチ　野菜照焼チキンサンド,445,430
大きなチョコシュー(チョコクリーム＆ホイップ),308,181
大きなツインシュー,348,138
大盛ぶっかけそば,515,599
大盛りえびピラフ,686,365
大盛り炒飯,929,365
大盛ガリバタ豚カルビ,792,697
大盛ソース焼そば,711,538
大盛パスタ　ガーリックバター醤油,435,343
大盛ペペロンチーノ,910,697
大盛ミートソース,725,697
大盛塩焼そば,645,538
天下一品監修　こってりラーメン,453,697
小籠包,165,235
平焼きカレーパン,170,160
